"Bevolkingsontwikkeling; regio per maand"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Almelo";"Bevolking aan het einde van de periode";"aantal";"71729";"72227";"72293";"72048";"72096";"72287";"72428";"72602";"72599";"72757";"72729";"72459";"72291";"72425";"72479";"72629";"72849";"73107";"73132";"73155";"73949";"74317";"74776"
"Almere";"Bevolking aan het einde van de periode";"aantal";"165106";"170704";"175007";"178466";"180924";"183270";"185746";"188160";"190655";"193163";"195213";"196013";"196932";"198145";"200914";"203990";"207904";"211893";"214715";"217828";"222825";"226500";"229574"
"Alphen aan den Rijn";"Bevolking aan het einde van de periode";"aantal";"70706";"70477";"70591";"70955";"71100";"71658";"72178";"72534";"72680";"72853";"72913";"73124";"107396";"107960";"108915";"109682";"110986";"111897";"112587";"112926";"114182";"114966";"115773"
"Alphen-Chaam";"Bevolking aan het einde van de periode";"aantal";"9413";"9414";"9513";"9491";"9461";"9455";"9421";"9436";"9466";"9525";"9640";"9717";"9753";"9924";"10058";"10083";"10149";"10203";"10373";"10425";"10463";"10455";"10539"
"Altena";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"55967";"56352";"57009";"57726";"58277";"58726"
"Ambt Montfort";"Bevolking aan het einde van de periode";"aantal";"10994";"10989";"10918";"10998";"10909";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ameland";"Bevolking aan het einde van de periode";"aantal";"3576";"3525";"3520";"3475";"3460";"3456";"3466";"3501";"3503";"3526";"3525";"3578";"3590";"3611";"3633";"3654";"3673";"3716";"3746";"3757";"3840";"3839";"3800"
"Amerongen";"Bevolking aan het einde van de periode";"aantal";"7194";"7231";"7272";"7273";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Amersfoort";"Bevolking aan het einde van de periode";"aantal";"131221";"132851";"134906";"136999";"139054";"141211";"143212";"144862";"146592";"148250";"149662";"150897";"152481";"153602";"154337";"155226";"156286";"157276";"157462";"158590";"160759";"161852";"163298"
"Amstelveen";"Bevolking aan het einde van de periode";"aantal";"78095";"78866";"79036";"78774";"78945";"78980";"79768";"80695";"81796";"83363";"84379";"85015";"87162";"88602";"89294";"89870";"90838";"91675";"90829";"92331";"94418";"95014";"95822"
"Amsterdam";"Bevolking aan het einde van de periode";"aantal";"736562";"739104";"742783";"743070";"742884";"747093";"755605";"767457";"779808";"790110";"799278";"810767";"821752";"833624";"844947";"854047";"862965";"872757";"873338";"882633";"918117";"931298";"934526"
"Andijk";"Bevolking aan het einde van de periode";"aantal";"6390";"6423";"6425";"6470";"6593";"6581";"6495";"6504";"6518";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Angerlo";"Bevolking aan het einde van de periode";"aantal";"4994";"5136";"5184";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Anna Paulowna";"Bevolking aan het einde van de periode";"aantal";"13940";"13953";"13960";"14022";"14009";"14123";"14155";"14234";"14260";"14304";"";"";"";"";"";"";"";"";"";"";"";"";""
"Apeldoorn";"Bevolking aan het einde van de periode";"aantal";"155741";"156000";"156064";"156051";"155564";"155108";"155332";"155726";"156199";"156961";"157315";"157545";"158099";"159025";"160047";"161156";"162445";"163818";"164781";"165611";"167191";"168211";"168551"
"Appingedam";"Bevolking aan het einde van de periode";"aantal";"12467";"12415";"12437";"12291";"12187";"12131";"12114";"12032";"12090";"12053";"12053";"12064";"12011";"12001";"11971";"11801";"11721";"11642";"11496";"";"";"";""
"Arcen en Velden";"Bevolking aan het einde van de periode";"aantal";"8948";"8870";"8892";"8864";"8780";"8743";"8711";"8668";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Arnhem";"Bevolking aan het einde van de periode";"aantal";"141528";"141601";"141321";"142195";"142569";"143582";"145574";"147018";"148070";"149271";"149827";"150823";"152293";"153818";"155699";"157223";"159265";"161348";"162424";"163888";"165770";"167632";"169364"
"Assen";"Bevolking aan het einde van de periode";"aantal";"61577";"61925";"62755";"63383";"64391";"65487";"66369";"66857";"67177";"67208";"67204";"67190";"67165";"67061";"67551";"67708";"67963";"68599";"68836";"68979";"69414";"69701";"70392"
"Asten";"Bevolking aan het einde van de periode";"aantal";"16091";"16138";"16261";"16299";"16374";"16392";"16363";"16335";"16296";"16404";"16392";"16440";"16559";"16580";"16714";"16719";"16710";"16721";"16817";"17068";"17242";"17302";"17385"
"Axel";"Bevolking aan het einde van de periode";"aantal";"12266";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Baarle-Nassau";"Bevolking aan het einde van de periode";"aantal";"6507";"6545";"6581";"6648";"6674";"6664";"6682";"6703";"6704";"6722";"6699";"6612";"6599";"6611";"6657";"6799";"6847";"6859";"6899";"6931";"7071";"7076";"7205"
"Baarn";"Bevolking aan het einde van de periode";"aantal";"24423";"24503";"24416";"24513";"24375";"24406";"24335";"24317";"24379";"24352";"24277";"24314";"24406";"24521";"24529";"24630";"24767";"24868";"24792";"24876";"25008";"25065";"25184"
