"Bevolkingsontwikkeling; regio per maand"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Cuijk";"Bevolking aan het einde van de periode";"aantal";"24325";"24177";"24223";"24221";"24249";"24226";"24309";"24433";"24580";"24648";"24743";"24783";"24649";"24608";"24696";"24911";"24931";"25130";"25404";"25677";"";"";""
"Culemborg";"Bevolking aan het einde van de periode";"aantal";"26362";"26594";"27143";"27157";"27178";"27298";"27414";"27501";"27584";"27632";"27681";"27590";"27560";"27644";"27864";"28195";"28555";"28955";"29121";"29397";"29729";"29944";"30281"
"Dalfsen";"Bevolking aan het einde van de periode";"aantal";"26281";"26428";"26459";"26439";"26541";"26735";"27044";"27259";"27313";"27432";"27570";"27674";"27677";"27916";"28070";"28242";"28499";"28587";"28901";"29162";"29612";"29683";"30047"
"Dantumadeel";"Bevolking aan het einde van de periode";"aantal";"19685";"19762";"19679";"19555";"19461";"19399";"19367";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dantumadiel";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"19283";"19310";"19264";"19130";"19030";"19059";"19015";"18942";"18904";"18923";"18922";"18943";"18957";"19194";"19135";"19137"
"Delft";"Bevolking aan het einde van de periode";"aantal";"96588";"95736";"95031";"95090";"95379";"96168";"96517";"96760";"97690";"98675";"99097";"100046";"101030";"101034";"101381";"102253";"103163";"103595";"103581";"104572";"106086";"109577";"110173"
"Delfzijl";"Bevolking aan het einde van de periode";"aantal";"28972";"28809";"28446";"27989";"27653";"27314";"26744";"26635";"26567";"26305";"26025";"25698";"25409";"25068";"24965";"24863";"24716";"24678";"24596";"";"";"";""
"Denekamp";"Bevolking aan het einde van de periode";"aantal";"25997";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Deurne";"Bevolking aan het einde van de periode";"aantal";"32130";"32083";"32003";"31853";"31841";"31643";"31466";"31526";"31676";"31762";"31733";"31659";"31765";"31878";"31933";"32137";"32362";"32471";"32437";"32606";"32977";"33180";"33387"
"Deventer";"Bevolking aan het einde van de periode";"aantal";"87526";"89142";"90281";"96540";"96617";"97342";"97892";"98523";"98737";"98672";"98581";"98322";"98540";"98869";"99295";"99653";"99957";"100719";"101236";"101446";"102781";"103405";"104301"
"Didam";"Bevolking aan het einde van de periode";"aantal";"16784";"16950";"16941";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Diemen";"Bevolking aan het einde van de periode";"aantal";"24046";"24049";"23932";"23834";"23888";"24046";"24361";"24685";"25012";"24935";"25218";"25930";"26666";"26840";"27272";"28121";"29196";"30780";"31334";"31822";"32785";"32977";"33228"
"Dijk en Waard";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88985";"90076";"90747"
"Dinkelland";"Bevolking aan het einde van de periode";"aantal";"";"26094";"26103";"26092";"26061";"26116";"26066";"26058";"26067";"26073";"26056";"25947";"25928";"26120";"26244";"26291";"26350";"26461";"26606";"26594";"26743";"26739";"26728"
"Dinxperlo";"Bevolking aan het einde van de periode";"aantal";"8582";"8569";"8511";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dirksland";"Bevolking aan het einde van de periode";"aantal";"8256";"8269";"8298";"8316";"8321";"8324";"8347";"8439";"8408";"8476";"8526";"";"";"";"";"";"";"";"";"";"";"";""
"Doesburg";"Bevolking aan het einde van de periode";"aantal";"11412";"11446";"11381";"11539";"11593";"11567";"11503";"11600";"11636";"11598";"11539";"11437";"11355";"11336";"11341";"11328";"11148";"11077";"11064";"11036";"11081";"11079";"11125"
"Doetinchem";"Bevolking aan het einde van de periode";"aantal";"49099";"49503";"49752";"56755";"56238";"56253";"56136";"56108";"56037";"56252";"56414";"56344";"56484";"56827";"57068";"57382";"57555";"58001";"58270";"58546";"59195";"59623";"60049"
"Dongen";"Bevolking aan het einde van de periode";"aantal";"25148";"25306";"25533";"25558";"25475";"25442";"25411";"25061";"25101";"25205";"25382";"25358";"25395";"25413";"25509";"25777";"26051";"26222";"26368";"26483";"27200";"27095";"27495"
"Dongeradeel";"Bevolking aan het einde van de periode";"aantal";"24961";"25008";"25116";"25034";"24857";"24694";"24610";"24409";"24292";"24284";"24221";"24160";"23983";"23932";"23901";"23789";"23845";"";"";"";"";"";""
"Doorn";"Bevolking aan het einde van de periode";"aantal";"10194";"10262";"10282";"9989";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dordrecht";"Bevolking aan het einde van de periode";"aantal";"120043";"119649";"119263";"118821";"118541";"118182";"118408";"118480";"118810";"118862";"118466";"118691";"118899";"118801";"118731";"118426";"118654";"119284";"119115";"119537";"121434";"122070";"122796"
"Drechterland";"Bevolking aan het einde van de periode";"aantal";"10194";"10378";"10505";"10707";"18596";"18818";"19091";"19291";"19335";"19300";"19298";"19250";"19294";"19400";"19384";"19440";"19597";"19719";"19838";"19983";"20385";"20496";"20476"
"Driebergen-Rijsenburg";"Bevolking aan het einde van de periode";"aantal";"18575";"18564";"18575";"18615";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Drimmelen";"Bevolking aan het einde van de periode";"aantal";"26747";"26663";"26658";"26649";"26575";"26623";"26624";"26591";"26477";"26664";"26737";"26695";"26703";"26815";"26869";"27063";"27150";"27272";"27325";"27476";"27994";"28192";"28295"
"Dronten";"Bevolking aan het einde van de periode";"aantal";"37132";"37768";"38010";"38125";"38182";"38528";"39206";"39787";"40164";"40470";"40679";"40413";"40363";"40592";"40746";"40735";"40815";"41555";"42011";"42865";"43593";"44354";"44856"
"Druten";"Bevolking aan het einde van de periode";"aantal";"17570";"17786";"17889";"18022";"18114";"18082";"18102";"18084";"18097";"18193";"18203";"18210";"18294";"18407";"18563";"18701";"18797";"18926";"18991";"19178";"19505";"19590";"19748"
"Duiven";"Bevolking aan het einde van de periode";"aantal";"26163";"25812";"25714";"25577";"25605";"25560";"25510";"25593";"25550";"25525";"25554";"25609";"25548";"25433";"25398";"25438";"25332";"25126";"25066";"24946";"24937";"24872";"24942"
"Echt";"Bevolking aan het einde van de periode";"aantal";"19147";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Echt-Susteren";"Bevolking aan het einde van de periode";"aantal";"";"32194";"32322";"32280";"32345";"32172";"32049";"32282";"32264";"32165";"32072";"31976";"31947";"31943";"31815";"31751";"31638";"31610";"31751";"31731";"31967";"32041";"32269"
"Edam-Volendam";"Bevolking aan het einde van de periode";"aantal";"28063";"28194";"28333";"28459";"28494";"28448";"28483";"28506";"28583";"28700";"28754";"28920";"29087";"29224";"35800";"35953";"36099";"36197";"36268";"36471";"36760";"36917";"37140"
"Ede";"Bevolking aan het einde van de periode";"aantal";"104771";"105495";"106416";"107048";"107500";"107686";"107623";"107756";"108285";"108763";"109823";"110656";"111575";"112427";"113421";"114682";"115710";"117165";"118530";"119986";"122012";"123532";"124214"
"Eemnes";"Bevolking aan het einde van de periode";"aantal";"8630";"8670";"8785";"8859";"8891";"8964";"8880";"8837";"8845";"8824";"8795";"8779";"8807";"8877";"8999";"9112";"9113";"9247";"9362";"9450";"9598";"9755";"9927"
"Eemsdelta";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45389";"45394";"45106";"44795"
"Eemsmond";"Bevolking aan het einde van de periode";"aantal";"17196";"16927";"16745";"16695";"16710";"16542";"16487";"16426";"16357";"16235";"16083";"15928";"15770";"15815";"15656";"15553";"15411";"";"";"";"";"";""
"Eersel";"Bevolking aan het einde van de periode";"aantal";"18389";"18286";"18295";"18183";"18041";"18072";"18104";"18157";"18166";"18166";"18196";"18183";"18347";"18551";"18554";"18778";"19110";"19313";"19528";"19823";"20004";"20199";"20389"
"Eibergen";"Bevolking aan het einde van de periode";"aantal";"16762";"16626";"16564";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Eijsden";"Bevolking aan het einde van de periode";"aantal";"11938";"11866";"11751";"11723";"11653";"11495";"11418";"11439";"11565";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Eijsden-Margraten";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"24994";"25049";"24979";"24967";"25123";"25297";"25566";"25658";"25768";"25900";"25857";"25991";"26034";"26181"
"Eindhoven";"Bevolking aan het einde van de periode";"aantal";"206118";"207870";"208455";"209172";"209699";"210333";"212269";"213809";"216036";"217225";"218433";"220920";"223209";"224755";"226868";"229126";"231642";"234394";"235691";"238326";"243730";"246417";"249035"
"Elburg";"Bevolking aan het einde van de periode";"aantal";"21662";"21753";"22032";"22086";"22216";"22231";"22112";"22176";"22310";"22416";"22510";"22645";"22843";"22929";"23026";"23107";"23086";"23161";"23429";"23740";"24037";"23906";"23903"
"Emmen";"Bevolking aan het einde van de periode";"aantal";"108198";"108354";"108617";"108589";"108832";"109151";"109441";"109491";"109259";"108838";"108392";"108052";"107775";"107584";"107490";"107192";"107113";"107048";"107024";"107856";"108765";"109346";"109678"
"Enkhuizen";"Bevolking aan het einde van de periode";"aantal";"17117";"17241";"17308";"17715";"17826";"17804";"18104";"18153";"18173";"18268";"18315";"18376";"18345";"18455";"18479";"18476";"18507";"18591";"18637";"18620";"18885";"18895";"18847"
"Enschede";"Bevolking aan het einde van de periode";"aantal";"152321";"152989";"153679";"154377";"154476";"154753";"156071";"157052";"157838";"158048";"158627";"158586";"158553";"158351";"158140";"158261";"158986";"159640";"159732";"160640";"161235";"161738";"162317"
"Epe";"Bevolking aan het einde van de periode";"aantal";"33233";"33309";"33108";"32978";"32989";"32970";"32954";"32881";"32875";"32519";"32385";"32351";"32214";"32282";"32537";"32863";"33145";"33178";"33198";"33257";"33283";"33168";"33469"
"Ermelo";"Bevolking aan het einde van de periode";"aantal";"26755";"26590";"26414";"26251";"26305";"26270";"26306";"26264";"26133";"26127";"26120";"26045";"26190";"26507";"26590";"26793";"26858";"27008";"27016";"27258";"27496";"27856";"28131"
"Etten-Leur";"Bevolking aan het einde van de periode";"aantal";"39352";"39657";"39860";"40322";"40591";"40435";"40997";"41524";"41800";"42048";"42274";"42357";"42503";"42832";"43027";"43532";"43774";"43878";"43869";"44152";"44578";"45237";"45457"
"Ferwerderadiel";"Bevolking aan het einde van de periode";"aantal";"8953";"9008";"8967";"8976";"8894";"8865";"8825";"8839";"8864";"8837";"8856";"8790";"8738";"8701";"8735";"8671";"8575";"";"";"";"";"";""
"Franekeradeel";"Bevolking aan het einde van de periode";"aantal";"20955";"21048";"20972";"20887";"20571";"20542";"20579";"20597";"20755";"20512";"20476";"20445";"20328";"20265";"20215";"20213";"";"";"";"";"";"";""
"De Friese Meren";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"51213";"51265";"";"";"";"";"";"";"";"";""
"De Fryske Marren";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"51585";"51742";"51430";"51564";"51778";"51597";"51992";"51929";"52235"
"Gaasterlân-Sleat";"Bevolking aan het einde van de periode";"aantal";"10263";"10220";"10208";"10305";"10250";"10215";"10280";"10303";"10225";"10194";"10196";"10186";"";"";"";"";"";"";"";"";"";"";""
"Geertruidenberg";"Bevolking aan het einde van de periode";"aantal";"20939";"20940";"20856";"20855";"20724";"20742";"20794";"21087";"21307";"21471";"21513";"21571";"21574";"21630";"21504";"21517";"21515";"21544";"21770";"21944";"22099";"22060";"21944"
"Geldermalsen";"Bevolking aan het einde van de periode";"aantal";"25600";"25667";"26184";"26258";"26234";"26285";"26289";"26260";"26224";"26334";"26240";"26300";"26323";"26346";"26587";"26818";"27036";"";"";"";"";"";""
"Geldrop";"Bevolking aan het einde van de periode";"aantal";"27944";"27675";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Geldrop-Mierlo";"Bevolking aan het einde van de periode";"aantal";"";"";"37846";"37738";"37823";"37982";"37996";"38117";"38389";"38671";"38768";"38854";"38879";"38893";"39078";"39252";"39595";"39726";"40066";"40131";"40441";"40733";"40754"
"Gemert-Bakel";"Bevolking aan het einde van de periode";"aantal";"27816";"27841";"27882";"27913";"27890";"28103";"28508";"28763";"28906";"29041";"29101";"29315";"29513";"29647";"30024";"30340";"30447";"30723";"30760";"31040";"31383";"31435";"31541"
"Gendringen";"Bevolking aan het einde van de periode";"aantal";"20976";"20846";"20892";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Gennep";"Bevolking aan het einde van de periode";"aantal";"16867";"16754";"16823";"16742";"16863";"16890";"17101";"17153";"17383";"17367";"17319";"17286";"17280";"17085";"17129";"17052";"17071";"16921";"17035";"17237";"17764";"17789";"17785"
"Giessenlanden";"Bevolking aan het einde van de periode";"aantal";"14341";"14359";"14436";"14497";"14456";"14422";"14411";"14451";"14427";"14508";"14466";"14442";"14464";"14544";"14596";"14551";"14540";"";"";"";"";"";""
"Gilze en Rijen";"Bevolking aan het einde van de periode";"aantal";"24894";"25093";"25196";"25266";"25376";"25644";"25789";"25975";"25764";"25589";"25858";"26069";"26065";"26152";"26220";"26313";"26431";"26431";"26723";"26557";"26815";"27343";"28531"
"Goedereede";"Bevolking aan het einde van de periode";"aantal";"11491";"11544";"11591";"11631";"11646";"11589";"11505";"11420";"11409";"11380";"11329";"";"";"";"";"";"";"";"";"";"";"";""
"Goeree-Overflakkee";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"48245";"48206";"48321";"48653";"49129";"49611";"50049";"50589";"51051";"51590";"51867";"52185"
"Goes";"Bevolking aan het einde van de periode";"aantal";"36251";"36591";"36783";"36690";"36600";"36706";"36754";"36605";"36665";"36921";"36971";"36954";"37153";"37207";"37274";"37636";"37653";"38082";"38594";"38950";"39433";"39682";"40120"
"Goirle";"Bevolking aan het einde van de periode";"aantal";"22510";"22578";"22392";"22146";"22084";"22319";"22466";"22761";"22807";"22805";"22933";"23098";"23014";"23111";"23317";"23554";"23793";"23904";"23952";"23979";"24177";"24327";"24468"
"Gooise Meren";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"56935";"57337";"57715";"58055";"58524";"58846";"60341";"60370";"61003"
"Gorinchem";"Bevolking aan het einde van de periode";"aantal";"34509";"34623";"34352";"34250";"34288";"34472";"34554";"34663";"34895";"35083";"35128";"35242";"35338";"35260";"35755";"36284";"36682";"37022";"37410";"37632";"38461";"38671";"38842"
"Gorssel";"Bevolking aan het einde van de periode";"aantal";"13365";"13379";"13516";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Gouda";"Bevolking aan het einde van de periode";"aantal";"71641";"71797";"71781";"71386";"70953";"70857";"70828";"71122";"71047";"71235";"70904";"70941";"71105";"71189";"71752";"72700";"73181";"73427";"73681";"74095";"75316";"75758";"76514"
"Graafstroom";"Bevolking aan het einde van de periode";"aantal";"9669";"9697";"9685";"9730";"9755";"9796";"9808";"9804";"9807";"9795";"9894";"";"";"";"";"";"";"";"";"";"";"";""
"Graft-De Rijp";"Bevolking aan het einde van de periode";"aantal";"6345";"6486";"6537";"6579";"6591";"6539";"6465";"6489";"6483";"6436";"6429";"6452";"6406";"";"";"";"";"";"";"";"";"";""
"Grave";"Bevolking aan het einde van de periode";"aantal";"12723";"12861";"12858";"12868";"12820";"12717";"12673";"12917";"13031";"12799";"12731";"12695";"12840";"12643";"12370";"12419";"12483";"12436";"12486";"12462";"";"";""
"'s-Gravendeel";"Bevolking aan het einde van de periode";"aantal";"8902";"8875";"8921";"8944";"9035";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"'s-Gravenhage (gemeente)";"Bevolking aan het einde van de periode";"aantal";"463826";"469059";"472096";"475627";"473941";"475681";"481864";"488553";"495083";"502055";"505856";"508940";"514861";"519988";"524882";"532561";"537833";"545838";"548320";"553417";"562839";"566221";"568945"
"'s-Gravenzande";"Bevolking aan het einde van de periode";"aantal";"19474";"19560";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Groenlo";"Bevolking aan het einde van de periode";"aantal";"9565";"9484";"9527";"30021";"29853";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Groesbeek";"Bevolking aan het einde van de periode";"aantal";"18939";"18839";"18773";"18826";"18907";"18976";"18981";"18923";"18870";"18884";"19009";"18977";"18963";"34574";"";"";"";"";"";"";"";"";""
"Groningen (gemeente)";"Bevolking aan het einde van de periode";"aantal";"177172";"179185";"180604";"180729";"181613";"182484";"184227";"187298";"189991";"193127";"195418";"198317";"200336";"200952";"201603";"202810";"203819";"232874";"233273";"234950";"238147";"243768";"244441"
"Grootegast";"Bevolking aan het einde van de periode";"aantal";"12277";"11934";"12048";"12102";"12148";"12208";"12191";"12141";"12209";"12275";"12222";"12165";"12123";"12155";"12166";"12143";"12191";"";"";"";"";"";""
"Gulpen-Wittem";"Bevolking aan het einde van de periode";"aantal";"15340";"15135";"15044";"14954";"14841";"14712";"14585";"14594";"14496";"14479";"14444";"14484";"14497";"14508";"14337";"14196";"14246";"14171";"14206";"14178";"14210";"14054";"14017"
"Haaksbergen";"Bevolking aan het einde van de periode";"aantal";"24109";"24123";"24267";"24344";"24348";"24378";"24495";"24486";"24448";"24419";"24322";"24344";"24307";"24332";"24272";"24291";"24277";"24311";"24229";"24268";"24502";"24359";"24225"
"Haaren";"Bevolking aan het einde van de periode";"aantal";"14043";"14037";"13914";"13833";"13772";"13769";"13711";"13625";"13630";"13621";"13572";"13587";"13523";"13570";"13912";"14103";"14195";"14370";"14318";"";"";"";""
"Haarlem";"Bevolking aan het einde van de periode";"aantal";"147097";"147343";"146739";"147015";"146960";"147640";"148191";"149579";"150670";"151818";"153093";"155147";"156645";"158140";"159229";"159709";"161265";"162902";"162543";"162898";"165396";"167636";"168743"
"Haarlemmerliede en Spaarnwoude";"Bevolking aan het einde van de periode";"aantal";"5533";"5556";"5552";"5489";"5444";"5429";"5430";"5398";"5432";"5474";"5526";"5535";"5574";"5578";"5665";"5867";"6167";"";"";"";"";"";""
"Haarlemmermeer";"Bevolking aan het einde van de periode";"aantal";"122902";"127750";"131816";"135136";"138255";"140648";"142042";"142788";"143374";"143943";"144153";"144231";"144152";"144518";"146003";"147282";"148068";"156002";"157789";"159336";"162300";"163128";"165255"
"Haelen";"Bevolking aan het einde van de periode";"aantal";"10104";"10019";"9952";"9980";"9905";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Halderberge";"Bevolking aan het einde van de periode";"aantal";"29746";"29679";"29537";"29482";"29331";"29488";"29271";"29291";"29292";"29325";"29231";"29340";"29484";"29531";"29579";"29888";"30194";"30284";"30430";"30770";"31041";"31183";"31347"
"Hardenberg";"Bevolking aan het einde van de periode";"aantal";"57731";"57820";"57855";"57909";"58105";"58207";"58650";"59014";"59283";"59430";"59585";"59577";"59577";"59687";"60211";"60539";"60574";"60948";"61357";"61798";"62509";"62932";"63415"
"Harderwijk";"Bevolking aan het einde van de periode";"aantal";"40603";"40559";"40879";"41388";"42079";"42333";"43092";"44010";"44932";"45429";"45650";"45732";"45776";"45966";"46352";"46832";"47581";"48414";"48726";"48857";"48906";"49387";"50042"
"Hardinxveld-Giessendam";"Bevolking aan het einde van de periode";"aantal";"17841";"17828";"17799";"17775";"17693";"17604";"17538";"17497";"17535";"17654";"17722";"17758";"17802";"17774";"17872";"17958";"18051";"18295";"18413";"18511";"18681";"18762";"19123"
"Haren";"Bevolking aan het einde van de periode";"aantal";"19008";"19048";"19134";"19107";"18809";"18706";"18632";"18516";"18515";"18457";"18642";"18782";"18924";"19076";"19570";"19860";"20191";"";"";"";"";"";""
"Harenkarspel";"Bevolking aan het einde van de periode";"aantal";"15793";"15867";"15794";"15754";"15910";"15932";"15968";"16086";"16179";"16194";"16122";"";"";"";"";"";"";"";"";"";"";"";""
"Harlingen";"Bevolking aan het einde van de periode";"aantal";"15561";"15839";"15959";"15642";"15465";"15567";"15689";"15809";"15878";"15844";"15854";"15821";"15779";"15813";"15860";"15783";"15758";"15722";"15807";"15904";"16188";"16229";"16210"
"Hattem";"Bevolking aan het einde van de periode";"aantal";"11688";"11782";"11756";"11702";"11630";"11657";"11708";"11792";"11762";"11805";"11769";"11732";"11821";"11890";"12040";"12154";"12173";"12209";"12228";"12307";"12563";"12624";"12745"
"Heel";"Bevolking aan het einde van de periode";"aantal";"8375";"8335";"8333";"8277";"8326";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heemskerk";"Bevolking aan het einde van de periode";"aantal";"36421";"36294";"36439";"37470";"38006";"38381";"38485";"38848";"39206";"39268";"39117";"39088";"39138";"39299";"39171";"39146";"39164";"39182";"39191";"39189";"39431";"39452";"39380"
"Heemstede";"Bevolking aan het einde van de periode";"aantal";"25760";"25660";"25644";"25650";"25575";"25626";"25680";"26058";"26297";"26242";"26317";"26364";"26480";"26766";"26936";"27080";"27286";"27234";"27545";"27557";"27778";"27593";"27638"
"Heerde";"Bevolking aan het einde van de periode";"aantal";"18270";"18349";"18334";"18330";"18013";"18212";"18313";"18313";"18300";"18244";"18399";"18490";"18512";"18556";"18561";"18603";"18546";"18589";"18776";"18976";"19214";"19226";"19305"
"Heerenveen";"Bevolking aan het einde van de periode";"aantal";"42190";"42642";"42802";"42757";"42776";"43027";"43334";"43418";"43454";"43514";"43323";"43301";"50141";"50290";"50203";"50192";"50257";"50493";"50650";"51119";"51637";"51787";"51863"
"Heerhugowaard";"Bevolking aan het einde van de periode";"aantal";"46898";"47239";"48267";"49444";"49800";"50390";"50883";"51178";"51985";"52483";"52893";"53307";"53554";"53927";"54950";"55850";"56742";"57587";"58387";"59102";"";"";""
"Heerjansdam";"Bevolking aan het einde van de periode";"aantal";"3697";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heerlen";"Bevolking aan het einde van de periode";"aantal";"93969";"93523";"92542";"91499";"90537";"89671";"89356";"89236";"89212";"89016";"88747";"88259";"87500";"87406";"87189";"86762";"86832";"87086";"86936";"86845";"87122";"87461";"87522"
"Heeze-Leende";"Bevolking aan het einde van de periode";"aantal";"15353";"15258";"15207";"15150";"15153";"15133";"15194";"15260";"15295";"15352";"15405";"15353";"15477";"15650";"15714";"15886";"15964";"16152";"16243";"16470";"16627";"16807";"17075"
"Heiloo";"Bevolking aan het einde van de periode";"aantal";"22048";"22058";"22106";"22123";"21979";"22024";"22216";"22451";"22580";"22650";"22594";"22636";"22553";"22689";"22857";"23099";"23464";"23968";"24144";"24417";"24319";"24312";"24341"
"Helden";"Bevolking aan het einde van de periode";"aantal";"19507";"19555";"19588";"19589";"19546";"19527";"19567";"19654";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Den Helder";"Bevolking aan het einde van de periode";"aantal";"60026";"59795";"59446";"58957";"58227";"57795";"57526";"57403";"57207";"57065";"56947";"56597";"56483";"56275";"56020";"55760";"55604";"56296";"56582";"56334";"56539";"56432";"56662"
"Hellendoorn";"Bevolking aan het einde van de periode";"aantal";"36146";"36105";"36172";"36152";"36046";"36059";"35846";"35791";"35747";"35796";"35743";"35711";"35622";"35651";"35772";"35796";"35808";"35916";"35932";"35940";"36261";"36264";"36213"
"Hellevoetsluis";"Bevolking aan het einde van de periode";"aantal";"39692";"40164";"40125";"40004";"39633";"39620";"39629";"39756";"39739";"39442";"39086";"38953";"38882";"38634";"38722";"38784";"40049";"40142";"40312";"40574";"40930";"";""
"Helmond";"Bevolking aan het einde van de periode";"aantal";"84233";"85127";"85829";"85682";"86061";"86767";"87757";"88291";"88560";"88801";"89023";"89256";"89718";"90127";"90602";"90903";"91524";"92423";"92627";"93476";"94898";"95874";"96551"
"Hendrik-Ido-Ambacht";"Bevolking aan het einde van de periode";"aantal";"22096";"22966";"23690";"24458";"24825";"24854";"25881";"26897";"27616";"28257";"28641";"28911";"29156";"29408";"29731";"30677";"30966";"31202";"31258";"31663";"32183";"32689";"32859"
"Hengelo (Gld.)";"Bevolking aan het einde van de periode";"aantal";"8501";"8471";"8451";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hengelo (O.)";"Bevolking aan het einde van de periode";"aantal";"80962";"80961";"81156";"81299";"81429";"81088";"80925";"80772";"80747";"80939";"80952";"80957";"81059";"81075";"80802";"80593";"80683";"81140";"81049";"81476";"82311";"83058";"83655"
"'s-Hertogenbosch";"Bevolking aan het einde van de periode";"aantal";"132501";"133511";"133978";"134717";"135648";"136481";"137775";"139607";"140786";"141893";"142817";"143733";"144170";"151608";"152411";"153434";"154205";"155111";"155490";"156538";"158753";"160757";"161530"
"Heumen";"Bevolking aan het einde van de periode";"aantal";"16557";"16686";"16795";"16827";"16673";"16628";"16623";"16632";"16494";"16413";"16455";"16334";"16383";"16360";"16475";"16462";"16486";"16454";"16569";"17175";"16824";"16836";"16861"
"Heusden";"Bevolking aan het einde van de periode";"aantal";"43161";"43108";"43051";"43103";"42883";"42942";"43060";"42995";"43119";"43112";"43244";"43165";"43132";"43274";"43516";"43723";"44135";"44692";"45005";"45557";"45830";"46026";"46365"
"Heythuysen";"Bevolking aan het einde van de periode";"aantal";"12125";"12261";"12283";"12220";"12257";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hillegom";"Bevolking aan het einde van de periode";"aantal";"20670";"20588";"20451";"20317";"20295";"20348";"20487";"20484";"20627";"20831";"20868";"20944";"21101";"21089";"21316";"21812";"21966";"22209";"22197";"22312";"22453";"22822";"22786"
"Hilvarenbeek";"Bevolking aan het einde van de periode";"aantal";"14852";"15016";"15072";"15103";"15107";"15107";"15041";"14978";"15035";"15047";"15086";"15092";"15042";"15164";"15283";"15366";"15334";"15518";"15698";"15810";"15949";"15961";"16149"
"Hilversum";"Bevolking aan het einde van de periode";"aantal";"83306";"83454";"83682";"83652";"83669";"83815";"84422";"84573";"84984";"85537";"86017";"86426";"87161";"87830";"88888";"89521";"90238";"90831";"91235";"91733";"93345";"94435";"94393"
"Hoeksche Waard";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"87401";"88047";"88715";"89760";"90256";"90747"
"Hof van Twente";"Bevolking aan het einde van de periode";"aantal";"35038";"35000";"34941";"35041";"35137";"35181";"35151";"35468";"35573";"35599";"35215";"34997";"34917";"34881";"35011";"34930";"34940";"35017";"35040";"35056";"35455";"35446";"35660"
"Het Hogeland";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"47801";"47834";"48022";"48298";"48224";"48178"
"Hollands Kroon";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"47643";"47502";"47546";"47546";"47600";"47681";"47815";"48432";"48583";"48778";"49431";"49522";"49982"
"Hontenisse";"Bevolking aan het einde van de periode";"aantal";"7972";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Hoogeveen";"Bevolking aan het einde van de periode";"aantal";"53312";"53663";"53886";"54150";"54383";"54468";"54652";"54805";"54844";"54889";"54874";"54664";"54860";"55240";"55311";"55677";"55662";"55699";"55603";"55857";"56433";"56591";"56906"
