"Bevolkingsontwikkeling; regio per maand";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Perioden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regio's;Onderwerp;;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2023;2024;2025 januari*;2025 februari*;2025 maart*;2025 april *;2025 mei*;2025 juni*;2025 juli*;2025 augustus*;2025 september*;2025 oktober*
Kampen;Bevolking aan het einde van de periode;aantal;48919;48949;48980;49295;49359;49385;49860;50051;50403;50705;50924;51092;51432;51950;52511;53259;53779;54319;54474;54791;56177;56547;56581;56601;56652;56676;56770;56787;56771;56793;56804;56842
Kapelle;Bevolking aan het einde van de periode;aantal;11568;11627;11609;11755;12001;12047;12288;12402;12365;12398;12495;12500;12545;12639;12622;12720;12785;12695;12882;13020;13009;13012;13018;13018;13000;13067;13071;13118;13168;13152;13150;13169
Katwijk;Bevolking aan het einde van de periode;aantal;41535;41822;42024;42198;61111;61180;61337;61828;62044;62476;62688;62782;63633;64239;64532;64956;65302;65753;65995;66032;66966;67089;67090;67065;67039;67027;67066;67094;67156;67153;67252;67232
Kerkrade;Bevolking aan het einde van de periode;aantal;50295;50035;49563;49323;48769;48334;48076;47684;47409;47280;47194;46784;46524;46023;45937;45823;45642;45749;45442;45324;45311;45490;45490;45463;45445;45514;45571;45653;45715;45778;45827;45823
Kessel;Bevolking aan het einde van de periode;aantal;4182;4214;4229;4255;4267;4266;4252;4263;;;;;;;;;;;;;;;;;;;;;;;;
Kesteren;Bevolking aan het einde van de periode;aantal;22257;22289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Koggenland;Bevolking aan het einde van de periode;aantal;;;;;;21495;21792;21969;22082;22345;22376;22485;22426;22471;22522;22659;22738;22749;22940;23048;23587;23821;23881;23908;23940;23979;24010;24073;24084;24128;24175;24158
Kollumerland en Nieuwkruisland;Bevolking aan het einde van de periode;aantal;13356;13128;13112;13116;13131;13085;13048;13005;12930;12906;12829;12878;12835;12811;12872;12827;12761;;;;;;;;;;;;;;;
Korendijk;Bevolking aan het einde van de periode;aantal;10858;11019;10971;10886;10850;10934;10925;10891;10848;10801;10774;10702;10778;10825;10959;11097;11269;;;;;;;;;;;;;;;
Krimpen aan den IJssel;Bevolking aan het einde van de periode;aantal;29075;29046;28983;28783;28719;28807;28907;28812;28626;28692;28855;28825;28970;29054;29123;29306;29376;29526;29410;29415;29626;29793;29772;29752;29711;29710;29759;29805;29859;29898;29913;29924
Krimpenerwaard;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;54653;55204;55644;56048;56319;56622;57062;57785;57798;57829;57800;57811;57813;57819;57821;57840;57911;57950;57928
Laarbeek;Bevolking aan het einde van de periode;aantal;21590;21583;21642;21771;21748;21783;21717;21581;21532;21608;21767;21802;21913;21965;21942;22158;22333;22523;22805;22943;23220;23324;23303;23271;23303;23364;23399;23449;23489;23507;23521;23523
Land van Cuijk;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;;;;;;;;91722;92817;92928;92978;93054;93173;93233;93299;93383;93407;93485;93566
Landerd;Bevolking aan het einde van de periode;aantal;14704;14807;14821;14744;14741;14796;14805;14888;14941;15066;15223;15266;15290;15303;15332;15332;15529;15730;15817;15896;;;;;;;;;;;;
Landgraaf;Bevolking aan het einde van de periode;aantal;40055;39778;39477;39189;38866;38748;38713;38457;38186;38067;37911;37573;37456;37465;37458;37612;37591;37445;37262;37023;37112;36839;36800;36771;36784;36775;36777;36885;36921;36919;36885;36895
Landsmeer;Bevolking aan het einde van de periode;aantal;10352;10315;10272;10301;10264;10173;10139;10233;10253;10334;10454;10444;10823;10977;11275;11435;11488;11491;11565;11560;11661;11745;11754;11745;11741;11740;11729;11727;11718;11730;11718;11705
Langedijk;Bevolking aan het einde van de periode;aantal;25009;25278;25937;25931;25934;26047;26886;26955;26997;26991;26899;26935;27287;27447;27608;27836;27992;28163;28335;28593;;;;;;;;;;;;
Lansingerland;Bevolking aan het einde van de periode;aantal;;;;;;49411;51019;52565;54090;55265;56506;57122;58133;59035;60105;61155;61601;62373;63363;64110;65594;66064;66080;66095;66165;66286;66374;66469;66507;66484;66495;66521
Laren (NH.);Bevolking aan het einde van de periode;aantal;11674;11590;11488;11005;10979;10958;11585;11323;11418;11360;10889;10862;10857;10956;11088;11146;11195;11280;11398;11528;11439;11474;11475;11453;11467;11502;11530;11546;11598;11596;11575;11579
Leek;Bevolking aan het einde van de periode;aantal;19319;19485;19510;18936;19190;19289;19450;19364;19333;19467;19611;19597;19478;19536;19643;19669;19732;;;;;;;;;;;;;;;
Leerdam;Bevolking aan het einde van de periode;aantal;21074;21050;20956;20809;20688;20624;20732;20745;20692;20664;20718;20590;20568;20711;20905;21030;21248;;;;;;;;;;;;;;;
Leersum;Bevolking aan het einde van de periode;aantal;7453;7510;7684;7515;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leeuwarden;Bevolking aan het einde van de periode;aantal;91284;91354;91749;91817;92342;92864;93498;94073;94838;95321;95949;96318;107691;107897;108667;108942;123107;124084;124481;125504;128810;129973;129939;130080;130085;130114;130080;129924;129558;129784;130174;130314
Leeuwarderadeel;Bevolking aan het einde van de periode;aantal;10636;10600;10543;10493;10412;10383;10358;10435;10377;10332;10314;10278;10221;10175;10108;10079;;;;;;;;;;;;;;;;
Leiden;Bevolking aan het einde van de periode;aantal;117689;118702;118563;118069;117485;116878;116787;117123;117915;118748;119800;121163;121562;122561;123661;124306;124899;125099;124093;125074;130108;130638;130538;130575;130494;130557;130280;130126;129787;130081;130379;130367
Leiderdorp;Bevolking aan het einde van de periode;aantal;26402;26182;26154;25990;26077;26376;26470;26426;26609;26706;26743;26813;26853;26968;27128;27197;27109;27056;27377;27464;27736;27751;27819;27809;27785;27834;27888;27928;27926;27894;27926;27936
Leidschendam-Voorburg;Bevolking aan het einde van de periode;aantal;73747;73832;73793;73111;72824;72862;72697;72160;72068;72405;72588;73356;73979;74223;74604;74947;75425;76534;76433;76659;78229;78318;78262;78242;78291;78323;78380;78432;78493;78591;78718;78848
Lelystad;Bevolking aan het einde van de periode;aantal;68555;69640;70860;71447;72252;73063;73848;74628;75111;75312;75778;76142;76418;76792;76937;77389;77893;78598;79811;81214;84080;84713;84761;84913;85001;85108;85127;85183;85290;85337;85384;85518
Lemsterland;Bevolking aan het einde van de periode;aantal;13241;13342;13406;13405;13434;13430;13584;13623;13621;13564;13566;13524;;;;;;;;;;;;;;;;;;;;
Leudal;Bevolking aan het einde van de periode;aantal;;;;;;36744;36751;36741;36600;36462;36426;36219;36244;36140;35878;35857;35681;35879;36045;35928;36006;36108;36100;36101;36114;36121;36150;36184;36165;36092;36142;36151
Leusden;Bevolking aan het einde van de periode;aantal;28998;29106;28977;28889;28610;28540;28583;28812;28609;28905;28969;28997;29062;29309;29677;29755;30030;30401;30544;30713;31681;31911;31938;31937;31956;31983;32032;32073;32130;32155;32179;32193
Lichtenvoorde;Bevolking aan het einde van de periode;aantal;19412;19501;19468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liemeer;Bevolking aan het einde van de periode;aantal;6708;6713;6725;6772;6961;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Lier;Bevolking aan het einde van de periode;aantal;11375;10967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liesveld;Bevolking aan het einde van de periode;aantal;9681;9724;9718;9738;9799;9771;9728;9740;9746;9787;9770;;;;;;;;;;;;;;;;;;;;;
Lingewaal;Bevolking aan het einde van de periode;aantal;10679;10759;10799;10826;10867;10916;10921;10899;10878;10895;11007;11060;11079;11112;11158;11134;11193;;;;;;;;;;;;;;;
Lingewaard;Bevolking aan het einde van de periode;aantal;;43019;43176;43719;44344;44617;45084;45445;45589;45770;45818;45776;45788;45950;46182;46372;46475;46601;46822;46963;47314;47684;47649;47657;47661;47703;47716;47734;47744;47757;47807;47786
Lisse;Bevolking aan het einde van de periode;aantal;22026;22061;21909;21877;21975;22131;22301;22335;22685;22511;22393;22336;22539;22606;22717;22746;22800;22955;22982;23015;23447;23582;23582;23579;23569;23540;23587;23609;23685;23730;23799;23799
Lith;Bevolking aan het einde van de periode;aantal;6750;6724;6723;6702;6716;6716;6667;6651;6685;;;;;;;;;;;;;;;;;;;;;;;
Littenseradiel;Bevolking aan het einde van de periode;aantal;10840;10859;10840;10825;10850;10885;10932;10924;10998;10925;10948;10926;10879;10833;10746;10683;;;;;;;;;;;;;;;;
Lochem;Bevolking aan het einde van de periode;aantal;19370;19388;19353;32861;32832;33045;33313;33395;33278;33263;33308;33248;33244;33333;33545;33574;33590;33729;33948;34069;34289;34316;34273;34269;34291;34336;34313;34273;34294;34270;34245;34247
Loenen;Bevolking aan het einde van de periode;aantal;8324;8343;8338;8296;8212;8280;8447;8504;8562;;;;;;;;;;;;;;;;;;;;;;;
Loon op Zand;Bevolking aan het einde van de periode;aantal;22952;22951;22918;22807;22870;22885;22934;23016;22973;23071;23083;23080;22960;22929;23093;23120;23327;23408;23504;23768;23850;24151;24178;24220;24273;24244;24263;24252;24234;24200;24194;24153
Lopik;Bevolking aan het einde van de periode;aantal;13728;13870;13968;13908;13999;14047;14156;14174;14121;14050;13992;13999;14099;14156;14208;14395;14473;14467;14456;14512;14724;14800;14757;14782;14797;14785;14793;14790;14798;14780;14780;14790
Loppersum;Bevolking aan het einde van de periode;aantal;11152;11061;11032;10926;10782;10702;10543;10452;10478;10366;10292;10196;10140;10042;9914;9732;9614;9537;9495;;;;;;;;;;;;;
Losser;Bevolking aan het einde van de periode;aantal;22587;22508;22487;22489;22485;22492;22589;22647;22664;22673;22554;22612;22467;22444;22482;22547;22622;22683;22888;23084;23376;23469;23464;23485;23505;23468;23459;23453;23427;23415;23414;23440
Maarn;Bevolking aan het einde van de periode;aantal;5822;5903;5945;5934;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maarssen;Bevolking aan het einde van de periode;aantal;40015;39843;39775;39563;39393;39361;39636;39663;39752;;;;;;;;;;;;;;;;;;;;;;;
Maasbracht;Bevolking aan het einde van de periode;aantal;13727;13722;13661;13624;13587;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maasbree;Bevolking aan het einde van de periode;aantal;12875;12855;12840;12849;12852;12939;13065;13094;;;;;;;;;;;;;;;;;;;;;;;;
Maasdonk;Bevolking aan het einde van de periode;aantal;11406;11375;11360;11283;11292;11260;11260;11268;11254;11259;11220;11242;11348;;;;;;;;;;;;;;;;;;;
Maasdriel;Bevolking aan het einde van de periode;aantal;23519;23521;23554;23565;23514;23631;23798;23756;23970;24022;24092;24156;24185;24084;24250;24350;24693;25030;25452;25504;26197;26289;26278;26294;26279;26272;26266;26236;26242;26215;26267;26255
Maasgouw;Bevolking aan het einde van de periode;aantal;;;;;;24545;24473;24275;24272;24095;24017;23907;23766;23757;23774;23697;23716;23965;23947;24028;24406;24502;24455;24440;24405;24378;24371;24373;24400;24415;24413;24418
Maashorst;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;;;;;;;;59222;59671;59751;59805;59812;59815;59869;59907;59955;59992;60033;60038
Maasland;Bevolking aan het einde van de periode;aantal;6832;6619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maassluis;Bevolking aan het einde van de periode;aantal;32915;32734;32451;31956;31567;31394;31389;31591;31910;31849;31985;32080;32201;32292;32450;32518;32768;33213;33567;34148;35832;36436;36534;36610;36633;36679;36762;36819;36914;36941;36927;37004
Maastricht;Bevolking aan het einde van de periode;aantal;121982;122183;121456;120175;119038;118004;118286;118533;119664;121050;121819;122488;122397;122533;122753;122723;121565;121575;120227;121151;125285;125563;125671;125733;125583;125356;125027;124470;123506;124673;126079;126261
Margraten;Bevolking aan het einde van de periode;aantal;13592;13551;13497;13524;13521;13531;13345;13404;13375;;;;;;;;;;;;;;;;;;;;;;;
De Marne;Bevolking aan het einde van de periode;aantal;11180;11210;11294;11114;10754;10696;10587;10527;10501;10428;10336;10209;10157;10101;10088;10058;10037;;;;;;;;;;;;;;;
Marum;Bevolking aan het einde van de periode;aantal;10310;10396;10086;10081;10066;10218;10326;10449;10471;10413;10382;10378;10311;10305;10388;10488;10484;;;;;;;;;;;;;;;
Medemblik;Bevolking aan het einde van de periode;aantal;7902;8037;8047;8096;7744;26682;27017;27384;27627;43117;43248;43320;43604;43725;44058;44480;44809;45101;45165;45464;46002;45934;45956;45965;45995;46065;46063;46108;46176;46203;46260;46278
Meerlo-Wanssum;Bevolking aan het einde van de periode;aantal;7732;7728;7748;7692;7660;7672;7767;7813;;;;;;;;;;;;;;;;;;;;;;;;
Meerssen;Bevolking aan het einde van de periode;aantal;20039;19986;19857;19762;19739;19744;19695;19565;19495;19430;19362;19254;19063;19040;19072;19039;18923;18828;18661;18581;18576;18460;18456;18463;18419;18448;18454;18468;18466;18443;18452;18473
Meierijstad;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;;;80148;80815;81194;81647;82613;84304;84711;84722;84798;84919;84960;84933;85034;85135;85173;85192;85215
Meijel;Bevolking aan het einde van de periode;aantal;5828;5830;5851;5857;5871;5956;5985;6047;;;;;;;;;;;;;;;;;;;;;;;;
Menaldumadeel;Bevolking aan het einde van de periode;aantal;14089;14017;13967;13884;13809;13710;13708;13748;13774;;;;;;;;;;;;;;;;;;;;;;;
Menameradiel;Bevolking aan het einde van de periode;aantal;;;;;;;;;;13773;13727;13673;13612;13543;13454;13450;;;;;;;;;;;;;;;;
Menterwolde;Bevolking aan het einde van de periode;aantal;12694;12621;12589;12618;12555;12498;12514;12503;12385;12358;12370;12258;12197;12233;12162;12013;;;;;;;;;;;;;;;;
Meppel;Bevolking aan het einde van de periode;aantal;30588;30651;30397;30539;31087;31536;32026;32378;32511;32573;32726;32867;32799;32794;33025;33410;33564;33920;34386;34761;35810;36271;36263;36330;36376;36372;36386;36401;36461;36546;36546;36593
Middelburg (Z.);Bevolking aan het einde van de periode;aantal;46214;46350;46548;46974;47267;47325;47559;47997;48030;47768;47523;47642;47613;47873;48019;48303;48544;48822;48964;49199;50004;50152;50199;50247;50255;50283;50278;50237;50179;50352;50400;50439
Middelharnis;Bevolking aan het einde van de periode;aantal;17346;17450;17485;17681;17792;17689;17985;17950;18050;18049;18070;;;;;;;;;;;;;;;;;;;;;
Midden-Delfland;Bevolking aan het einde van de periode;aantal;;;17054;17435;17536;17451;17598;17890;18154;18225;18251;18456;18709;18873;19034;19338;19391;19341;19414;19484;19377;19423;19391;19398;19374;19385;19402;19394;19366;19372;19371;19368
Midden-Drenthe;Bevolking aan het einde van de periode;aantal;32826;32806;32984;33282;33545;33587;33560;33560;33581;33558;33422;33366;33284;33450;33399;33172;33178;33185;33381;33689;34092;34021;34003;33999;34047;34074;34122;34193;34274;34286;34348;34361
Midden-Groningen;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;;;;60899;60797;60726;60898;61433;61387;61328;61329;61347;61412;61393;61394;61397;61415;61381;61359
Mierlo;Bevolking aan het einde van de periode;aantal;10168;10005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mill en Sint Hubert;Bevolking aan het einde van de periode;aantal;11108;11044;11047;11057;11007;10996;11027;11031;11000;10926;10906;10850;10831;10801;10807;10831;10891;10939;11004;11057;;;;;;;;;;;;
Millingen aan de Rijn;Bevolking aan het einde van de periode;aantal;5911;5914;5888;5848;5866;5876;5857;5914;5921;5903;5924;5876;5879;;;;;;;;;;;;;;;;;;;
Moerdijk;Bevolking aan het einde van de periode;aantal;36553;36775;36785;36676;36645;36724;36648;36536;36547;36522;36625;36729;36816;36762;36944;36967;36961;37129;37185;37313;38091;38273;38293;38319;38341;38314;38295;38294;38426;38423;38410;38399
Molenlanden;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;;;;;43909;44130;44644;45271;45363;45359;45336;45383;45420;45444;45465;45525;45542;45533;45602
Molenwaard;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;29032;28993;29067;29212;29295;29318;;;;;;;;;;;;;;;
Monster;Bevolking aan het einde van de periode;aantal;20446;20489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Montferland;Bevolking aan het einde van de periode;aantal;;;;35190;35054;34995;35103;35179;34976;35043;34834;34987;35150;35173;35316;35627;36026;36011;36031;36359;36873;36996;37016;36964;37003;37027;37033;37010;37031;36997;36998;36990
Montfoort;Bevolking aan het einde van de periode;aantal;13339;13367;13438;13506;13474;13493;13484;13494;13500;13601;13621;13639;13672;13783;13866;13879;13996;13917;13896;13818;13868;13772;13768;13787;13797;13790;13789;13800;13796;13796;13780;13789
Mook en Middelaar;Bevolking aan het einde van de periode;aantal;8011;7977;8010;8016;8029;8084;8040;8049;7947;7874;7827;7796;7762;7755;7775;7768;7806;7847;7909;7989;8153;8102;8109;8088;8089;8108;8113;8124;8111;8097;8128;8140
Moordrecht;Bevolking aan het einde van de periode;aantal;8079;8110;8081;8095;8121;8155;8138;8275;;;;;;;;;;;;;;;;;;;;;;;;
Muiden;Bevolking aan het einde van de periode;aantal;6647;6656;6675;6645;6657;6608;6561;6500;6499;6466;6393;6287;6249;6202;;;;;;;;;;;;;;;;;;
Naaldwijk;Bevolking aan het einde van de periode;aantal;28774;29094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naarden;Bevolking aan het einde van de periode;aantal;16947;17031;17110;17104;17168;17140;16998;17152;17185;17163;17263;17205;17209;17397;;;;;;;;;;;;;;;;;;
Neder-Betuwe;Bevolking aan het einde van de periode;aantal;;;22359;22378;22309;22424;22561;22553;22620;22614;22593;22575;22728;23049;23303;23615;24034;24339;24648;25032;25708;25781;25819;25849;25851;25841;25861;25856;25885;25901;25895;25923
Nederlek;Bevolking aan het einde van de periode;aantal;14860;14831;14768;14690;14521;14308;14191;14087;13994;13992;14131;14075;14143;;;;;;;;;;;;;;;;;;;
Nederweert;Bevolking aan het einde van de periode;aantal;16104;16100;16265;16446;16539;16665;16695;16607;16678;16771;16785;16751;16776;16793;16864;17038;17001;17019;17171;17323;17492;17512;17515;17497;17492;17511;17508;17554;17565;17585;17607;17555
Neede;Bevolking aan het einde van de periode;aantal;11057;10971;10915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neerijnen;Bevolking aan het einde van de periode;aantal;11388;11460;11696;11775;11850;11851;11836;11880;11843;11930;12022;12020;12038;12122;12344;12397;12468;;;;;;;;;;;;;;;
Niedorp;Bevolking aan het einde van de periode;aantal;11554;11617;11757;11793;11974;12046;12136;12137;12222;12272;;;;;;;;;;;;;;;;;;;;;;
Nieuwegein;Bevolking aan het einde van de periode;aantal;62124;61803;61449;61605;61365;61087;61007;60896;60947;60720;60895;61038;61264;61749;61868;62426;63036;63462;63866;64554;65971;66788;67012;67148;67274;67313;67388;67542;67687;67817;67954;67999
Nieuwerkerk aan den IJssel;Bevolking aan het einde van de periode;aantal;22380;22344;22216;22140;21933;21741;21651;21604;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwkoop;Bevolking aan het einde van de periode;aantal;11056;11092;11122;11122;11062;26777;26757;26929;26988;26974;27082;27104;27114;27433;27914;28269;28628;28811;29151;29304;29501;29521;29531;29527;29552;29542;29579;29612;29621;29659;29701;29741
Nieuw-Lekkerland;Bevolking aan het einde van de periode;aantal;9425;9539;9577;9457;9444;9503;9525;9530;9541;9520;9526;;;;;;;;;;;;;;;;;;;;;
Nijefurd;Bevolking aan het einde van de periode;aantal;10903;10931;10940;10868;10886;11040;10955;10947;10971;;;;;;;;;;;;;;;;;;;;;;;
Nijkerk;Bevolking aan het einde van de periode;aantal;37631;37983;38419;38695;38879;38982;39080;39538;39788;40126;40355;40649;40870;41199;41775;42307;42943;43171;43600;44311;45361;45720;45776;45820;45858;45876;45926;45969;46024;46101;46191;46211
Nijmegen;Bevolking aan het einde van de periode;aantal;156198;157466;158215;159522;160907;161251;161817;162963;164223;165182;166382;168292;170681;172064;173556;175948;176756;177659;177359;179100;187049;189007;189004;189229;189231;189006;188948;188721;188457;188971;189717;189783
Nissewaard;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;85293;85401;85801;84797;85219;85440;86332;87639;88341;88400;88445;88504;88598;88643;88688;88777;88908;88932;88974
Noardeast-Fryslân;Bevolking aan het einde van de periode;aantal;;;;;;;;;;;;;;;;;;45228;45481;45593;45866;45864;45816;45872;45860;45834;45848;45904;45922;45938;45922;45949
Noord-Beveland;Bevolking aan het einde van de periode;aantal;7127;7124;7195;7200;7267;7289;7327;7397;7474;7522;7509;7530;7433;7421;7382;7314;7308;7392;7581;7668;7943;8046;8054;8055;8043;8043;8055;8064;8067;8064;8063;8060
Noordenveld;Bevolking aan het einde van de periode;aantal;31936;32129;31712;31573;31439;31253;31075;30808;30794;30955;31024;31087;31137;31039;32981;32370;31290;31253;31214;31238;31686;31751;31703;31679;31643;31642;31689;31679;31668;31674;31684;31700
Noorder-Koggenland;Bevolking aan het einde van de periode;aantal;10456;10500;10530;10553;10596;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noordoostpolder;Bevolking aan het einde van de periode;aantal;44741;45568;45600;45739;45777;45716;45814;46090;46253;46342;46284;46356;46479;46439;46544;46625;46862;47291;47583;48048;50035;50788;50868;50971;51213;51366;51524;51585;51640;51663;51824;51884
Noordwijk;Bevolking aan het einde van de periode;aantal;24542;24452;24561;24673;24700;24906;25335;25407;25438;25517;25671;25691;25604;25760;25867;26056;26174;43508;44062;44365;45734;45929;46003;46061;46112;46160;46162;46214;46247;46256;46371;46426
Noordwijkerhout;Bevolking aan het einde van de periode;aantal;15113;15092;15123;15166;15294;15399;15355;15555;15601;15648;15740;15956;16063;16140;16318;16605;16685;;;;;;;;;;;;;;;
Nuenen, Gerwen en Nederwetten;Bevolking aan het einde van de periode;aantal;23514;23367;23182;22873;22692;22598;22437;22213;22242;22548;22645;22620;22620;22763;22866;23019;23186;23383;23702;23826;24231;24290;24276;24273;24298;24309;24341;24374;24381;24412;24394;24420
Nunspeet;Bevolking aan het einde van de periode;aantal;26456;26634;26677;26583;26583;26567;26714;26728;26685;26609;26628;26680;26744;26835;26892;27114;27481;27851;28021;28223;29072;29393;29430;29463;29503;29554;29594;29637;29674;29677;29681;29656
Nuth;Bevolking aan het einde van de periode;aantal;16371;16055;16014;15920;15844;15851;15720;15667;15595;15644;15494;15583;15495;15425;15305;15201;15187;;;;;;;;;;;;;;;
Obdam;Bevolking aan het einde van de periode;aantal;6629;6766;6789;6770;6920;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oegstgeest;Bevolking aan het einde van de periode;aantal;21228;21188;21309;21882;22022;22367;22564;22597;22767;22788;23153;22910;22997;23209;23608;23887;24426;24840;25064;25499;25948;26058;26072;26040;26010;26028;25988;26002;26005;26051;26124;26172
Oirschot;Bevolking aan het einde van de periode;aantal;17838;17839;17904;17812;17852;17855;17806;17750;17845;17861;17926;17980;18079;18199;18499;18558;18623;18714;18842;19061;19280;19536;19602;19618;19649;19677;19711;19729;19737;19736;19752;19757
Oisterwijk;Bevolking aan het einde van de periode;aantal;25588;25784;25917;25908;25743;25743;25738;25827;25721;25775;25770;25802;25732;25835;25936;26132;26140;26245;26549;32503;32952;33108;33127;33133;33109;33125;33132;33253;33326;33373;33384;33383
Oldambt;Bevolking aan het einde van de periode;aantal;;;;;;;;;39396;39095;38748;38560;38420;38228;38108;38075;38129;38209;38277;38521;39405;39586;39589;39576;39578;39575;39606;39616;39694;39664;39710;39721
Oldebroek;Bevolking aan het einde van de periode;aantal;22892;22951;22966;22880;22800;22771;22622;22750;22659;22716;22774;22835;23001;23104;23256;23504;23598;23646;23760;23930;24281;24417;24390;24399;24419;24437;24424;24439;24445;24487;24507;24512
Oldenzaal;Bevolking aan het einde van de periode;aantal;31374;31392;31373;31297;31416;31584;31764;31974;32176;32176;32200;32137;32120;32110;32006;31915;31840;31836;31701;31741;31794;32021;32026;32029;32036;32049;32041;32074;32111;32128;32088;32073
Olst;Bevolking aan het einde van de periode;aantal;17002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Olst-Wijhe;Bevolking aan het einde van de periode;aantal;;17035;17079;17247;17327;17334;17482;17540;17502;17659;17751;17770;17839;17886;17957;18023;18071;18252;18361;18496;18835;19003;19010;19043;19052;19019;19016;18998;19006;19021;19043;19051
Ommen;Bevolking aan het einde van de periode;aantal;16966;16938;17028;17303;17311;17419;17446;17404;17329;17380;17314;17361;17341;17696;17531;17630;17813;18009;18295;18457;19031;19249;19254;19242;19233;19248;19271;19328;19336;19316;19296;19322
Onderbanken;Bevolking aan het einde van de periode;aantal;8420;8412;8396;8366;8391;8240;8147;8109;8016;7966;7905;7881;7866;7869;7865;7857;7782;;;;;;;;;;;;;;;
Oost Gelre;Bevolking aan het einde van de periode;aantal;;;;;;29873;30012;30026;30113;30005;29873;29700;29533;29537;29634;29672;29704;29627;29574;29603;29969;30048;30053;30067;30057;30071;30049;29966;29972;29960;29919;29881
Oostburg;Bevolking aan het einde van de periode;aantal;18227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oosterhout;Bevolking aan het einde van de periode;aantal;53136;53121;52921;52853;53295;53785;54198;54136;54072;54006;53686;53717;53793;54018;54604;55147;55616;55982;56206;56535;57924;58380;58399;58448;58532;58587;58553;58589;58600;58621;58594;58652
Oostflakkee;Bevolking aan het einde van de periode;aantal;10163;10126;10131;10233;10154;10178;10101;10365;10406;10407;10334;;;;;;;;;;;;;;;;;;;;;
Ooststellingwerf;Bevolking aan het einde van de periode;aantal;26761;26683;26491;26125;26224;26398;26288;26235;26004;25858;25836;25672;25617;25571;25540;25459;25497;25469;25464;25680;25824;25925;25924;25910;25896;25868;25880;25860;25839;25851;25909;25901
Oostzaan;Bevolking aan het einde van de periode;aantal;9118;9176;9182;9200;9248;9205;9201;9149;9114;9097;9141;9139;9187;9504;9652;9735;9757;9735;9689;9639;9694;9733;9711;9714;9716;9729;9730;9736;9747;9730;9722;9723
Opmeer;Bevolking aan het einde van de periode;aantal;11220;11201;11252;11268;11212;11244;11289;11386;11420;11393;11379;11368;11301;11336;11420;11526;11779;11836;12009;12074;12199;12491;12563;12603;12676;12672;12671;12683;12733;12739;12729;12730
Opsterland;Bevolking aan het einde van de periode;aantal;29000;29436;29472;29565;29583;29703;29777;30039;29991;29952;29896;29863;29859;29830;29718;29753;29723;29733;29812;29791;30059;30012;30031;30007;29980;29959;29990;29976;30030;30030;30067;30068
Oss;Bevolking aan het einde van de periode;aantal;67646;76307;76300;76416;76652;76732;77097;77392;77516;84639;84861;84954;85170;90003;90376;90951;91451;91915;92526;93307;94634;95239;95323;95392;95364;95428;95410;95400;95480;95506;95513;95596
Oud-Beijerland;Bevolking aan het einde van de periode;aantal;23163;23366;23784;23899;24019;23824;23732;23555;23536;23415;23441;23715;23702;23851;24015;24301;24403;;;;;;;;;;;;;;;
Oude IJsselstreek;Bevolking aan het einde van de periode;aantal;;;;40214;40068;39905;40010;39897;39922;39839;39779;39595;39558;39657;39568;39520;39473;39388;39346;39387;39402;39499;39506;39538;39519;39513;39519;39610;39607;39605;39612;39598
Ouder-Amstel;Bevolking aan het einde van de periode;aantal;13054;13055;13177;13151;13038;13046;13107;13099;13146;13232;13249;13271;13289;13411;13419;13496;13916;14026;14125;14212;14447;14532;14520;14520;14521;14525;14535;14521;14491;14526;14483;14510
Ouderkerk;Bevolking aan het einde van de periode;aantal;8119;8095;8069;8105;8187;8156;8144;8151;8141;8049;8147;8211;8241;;;;;;;;;;;;;;;;;;;
