"ID";"Sex";"Regions";"Periods";"PopulationOn31December_20"
"22074";"T001038";"GM0150";"2021JJ00";"101446"
"22075";"T001038";"GM0150";"2022JJ00";"102781"
"22076";"T001038";"GM0150";"2023JJ00";"103405"
"22077";"T001038";"GM0150";"2024JJ00";"104301"
"27211";"T001038";"GM0772";"2012JJ00";"218433"
"27212";"T001038";"GM0772";"2013JJ00";"220920"
"27213";"T001038";"GM0772";"2014JJ00";"223209"
"27214";"T001038";"GM0772";"2015JJ00";"224755"
"27215";"T001038";"GM0772";"2016JJ00";"226868"
"27216";"T001038";"GM0772";"2017JJ00";"229126"
"27217";"T001038";"GM0772";"2018JJ00";"231642"
"27218";"T001038";"GM0772";"2019JJ00";"234394"
"27219";"T001038";"GM0772";"2020JJ00";"235691"
"27220";"T001038";"GM0772";"2021JJ00";"238326"
"27221";"T001038";"GM0772";"2022JJ00";"243730"
"27222";"T001038";"GM0772";"2023JJ00";"246417"
"27223";"T001038";"GM0772";"2024JJ00";"249035"
"33851";"T001038";"GM0518";"2012JJ00";"505856"
"33852";"T001038";"GM0518";"2013JJ00";"508940"
"33853";"T001038";"GM0518";"2014JJ00";"514861"
"33854";"T001038";"GM0518";"2015JJ00";"519988"
"33855";"T001038";"GM0518";"2016JJ00";"524882"
"33856";"T001038";"GM0518";"2017JJ00";"532561"
"33857";"T001038";"GM0518";"2018JJ00";"537833"
"33858";"T001038";"GM0518";"2019JJ00";"545838"
"33859";"T001038";"GM0518";"2020JJ00";"548320"
"33860";"T001038";"GM0518";"2021JJ00";"553417"
"33861";"T001038";"GM0518";"2022JJ00";"562839"
"33862";"T001038";"GM0518";"2023JJ00";"566221"
"33863";"T001038";"GM0518";"2024JJ00";"568945"
"35677";"T001038";"GM0392";"2012JJ00";"153093"
"35678";"T001038";"GM0392";"2013JJ00";"155147"
"35679";"T001038";"GM0392";"2014JJ00";"156645"
"35680";"T001038";"GM0392";"2015JJ00";"158140"
"35681";"T001038";"GM0392";"2016JJ00";"159229"
"35682";"T001038";"GM0392";"2017JJ00";"159709"
"35683";"T001038";"GM0392";"2018JJ00";"161265"
"35684";"T001038";"GM0392";"2019JJ00";"162902"
"35685";"T001038";"GM0392";"2020JJ00";"162543"
"35686";"T001038";"GM0392";"2021JJ00";"162898"
"35687";"T001038";"GM0392";"2022JJ00";"165396"
"35688";"T001038";"GM0392";"2023JJ00";"167636"
"35689";"T001038";"GM0392";"2024JJ00";"168743"
"41404";"T001038";"GM0796";"2012JJ00";"142817"
"41405";"T001038";"GM0796";"2013JJ00";"143733"
"41406";"T001038";"GM0796";"2014JJ00";"144170"
"41407";"T001038";"GM0796";"2015JJ00";"151608"
"41408";"T001038";"GM0796";"2016JJ00";"152411"
"41409";"T001038";"GM0796";"2017JJ00";"153434"
"41410";"T001038";"GM0796";"2018JJ00";"154205"
"41411";"T001038";"GM0796";"2019JJ00";"155111"
"41412";"T001038";"GM0796";"2020JJ00";"155490"
"41413";"T001038";"GM0796";"2021JJ00";"156538"
"41414";"T001038";"GM0796";"2022JJ00";"158753"
"41415";"T001038";"GM0796";"2023JJ00";"160757"
"41416";"T001038";"GM0796";"2024JJ00";"161530"
"51530";"T001038";"GM0080";"2012JJ00";"95949"
"51531";"T001038";"GM0080";"2013JJ00";"96318"
"51532";"T001038";"GM0080";"2014JJ00";"107691"
"51533";"T001038";"GM0080";"2015JJ00";"107897"
"51534";"T001038";"GM0080";"2016JJ00";"108667"
"51535";"T001038";"GM0080";"2017JJ00";"108942"
"51536";"T001038";"GM0080";"2018JJ00";"123107"
"51537";"T001038";"GM0080";"2019JJ00";"124084"
"51538";"T001038";"GM0080";"2020JJ00";"124481"
"51539";"T001038";"GM0080";"2021JJ00";"125504"
"51540";"T001038";"GM0080";"2022JJ00";"127073"
"51541";"T001038";"GM0080";"2023JJ00";"128810"
"51542";"T001038";"GM0080";"2024JJ00";"129973"
"52194";"T001038";"GM0995";"2012JJ00";"75778"
"52195";"T001038";"GM0995";"2013JJ00";"76142"
"52196";"T001038";"GM0995";"2014JJ00";"76418"
"52197";"T001038";"GM0995";"2015JJ00";"76792"
"52198";"T001038";"GM0995";"2016JJ00";"76937"
"52199";"T001038";"GM0995";"2017JJ00";"77389"
"52200";"T001038";"GM0995";"2018JJ00";"77893"
"52201";"T001038";"GM0995";"2019JJ00";"78598"
"52202";"T001038";"GM0995";"2020JJ00";"79811"
"52203";"T001038";"GM0995";"2021JJ00";"81214"
"52204";"T001038";"GM0995";"2022JJ00";"83033"
"52205";"T001038";"GM0995";"2023JJ00";"84080"
